audiocap_id,youtube_id,start_time,caption
95794,ubAa_kTIn8g,80,humming of a revving engine with consistent clicks and faint brief musical notes
43853,KiPzitsxB9U,70,a sewing machine clinks once and then clinks repetitively before stopping
53737,RCp34pkK1rI,190,a sewing machine runs and music plays
43851,KiJyvvSWZB4,27,people speak loudly
43850,KiHNFmpU5ZY,30,a dog barking and growling
43857,Kieu2QbbYRc,210,several people applaud and cheer
43856,KibkO30TIGQ,30,people speak and laugh as a dog barks
43855,Kia_gYhJ7k0,30,clacking noises with a horn honking
43854,KiTuS0vYvBg,30,continuous rapid typing on computer keyboard
53735,RCizkqEwIQM,30,a helicopter whirs and a person speaks faintly
53734,RCgYK9uE0M8,9,water flows quickly and splashes
49569,ORl0KaeGVzk,26,"a young child cries, and adult female speaks, and the child continues to sob and speak"
49564,ORbcRUAqvbI,20,some steam is released followed by people cheering
49567,ORg-1Jn7dY4,90,bells ringing loudly
49566,OReejWjyaWE,440,a woman speaks while a spray is released
49561,ORQQWh3gVIU,230,a vehicle engine idles and a man speaks
81568,jumgk3feJOc,0,A bus engine is idling and then it slowly accelerates.
49560,ORQQ6MByJfg,30,a man speaks while a spray is released
49563,ORakFdz5lHc,80,a person whistles then a woman and man speak in a speaker
1678,-dZBPCuWSpE,0,car is revving its engine and goes vroom
49562,ORYr9VtIvx0,0,a man speaks as a dog barks in the distance followed by thunder
84229,lsNnpNK-HGM,30,a clock ticking steadily
1671,-dPOfiyEKic,13,a dirt bike revs its engine and then idles
85678,mvs3E2Tm8I8,50,a power tool drilling
85671,mveVs1ZkVwg,10,cars accelerating and racing
85670,mvbjcYC2TaY,30,someone talking and a cat hissing and screeching
85673,mviioarzACw,70,a machine hisses and clicks
85672,mvhcDpx7Qvk,0,multiple frogs croak at the same time
85675,mvmeuVOhAR4,30,"birds chirp in the distance as pigeons coo in the foreground, and then a bird flaps its wings nearby"
85674,mvmLUf3f7ZE,30,motor along with gurgling
85677,mvrdy06z99w,290,a man speaks and types on a computer keyboard
85676,mvn5kkypdyw,480,railroad crossing bells ring and a train horn sounds
5058,10Wz3WLOowg,80,a woman sneezing and sniffling and complaining
5059,10XJ787bm2Q,30,"the motor of a boat with the sound of waves, followed by calm and still water"
5054,10R2yQUbKzc,30,large vehicle engine and woman's faint speech
5055,10RQxUIBTBU,30,female making a speech
5056,10SZFHfWSz4,10,"roaring is present, an emergency vehicle siren sounds, and then machine gun fire and more roaring"
5057,10Vv0X2_n6Q,8,a roar of a large vehicle as it approaches while a person screams something as the vehicle speeds away
5050,10ILs3Dvgds,10,someone is talking while someone is snoring
5051,10IhJop-JE4,50,power tools run
5052,10MRxp2q8R4,30,female speaker giving a speech
5053,10OItSnDWd0,20,a man is talking and a whoosh is heard
38569,HKmtnyblnIs,0,a bird vocalizes repeatedly
38568,HKhIXwQ_jdU,70,insects buzz and a man speaks
38561,HKOyrFuHsnI,0,water streaming and dripping on a surface with vehicles passing by in the background
38560,HKNmrYc9Rao,500,an emergency vehicle siren wails and vehicle engine runs
38563,HKYc0AlZp_A,10,goats bleat and birds vocalize
38565,HKbLArTJLZg,60,wind blows then beeping occurs followed by music playing
38567,HKhGst2jNf8,70,a man speaking as a bird tweets and a chicken clucks while water splashes and wind blows into a microphone
38566,HKgby13GaZM,60,humming of a loud engine of a hovering helicopter
70138,bag3dVAaa2A,210,a man speaks then a toilet flushes and water drains
70139,baqP1xjIdyM,80,someone burps followed by two girls talking
70136,badGYvhcLkM,110,a teen girl speaks and laughs followed by burping and people laughing
70137,baevAGuuf7o,20,a siren wails and horn blows
70134,bacI7Ohzot4,0,rumbling and humming occurs as popping takes place
70135,bacYBM0XV_A,30,a person is spraying then moving an object
70132,baZ-dee_8hc,10,a door opens and closes squeaking
70130,baVWqtuSAno,0,a desk bell is rung and echoes
70131,baWqKKc3RVU,50,uproarious laughter is coming from a few women
18893,6uMJRQ0UrGo,30,an engine runs and a man speaks
18892,6uGzPWpYqW8,20,a bird chirps in a hypnotic manner
18891,6uDv3CFjq2A,40,ongoing stream running with faint children noises
18890,6uCq9iyudI4,110,a young man is speaking as a sink is filling up
18897,6uRL_wlWIxI,90,birds chirping with a light banging in the background
18896,6uOzzr5WPPU,60,humming from a slow moving vehicle with people speaking
18895,6uOmaZT3PRQ,20,clicking on a computer keyboard
18894,6uN36JJR2Eg,170,a man speaking over a loud speaker and a helicopter flying by
18899,6uXUy9BOOus,12,beeping of electronics
18898,6uSoEE2rS9o,110,hissing loudly and a man speaking
48128,NV9zWLUWBh8,30,rustling occurs as wind blows and a man speaks
69178,asUtGxD7abg,540,a man speaks as hissing occurs
45447,LkXbjrI0jZY,30,an engine works nearby
13892,4dyO-l0BFOk,380,a car is accelerating
13893,4dyR3t9Ldq4,30,water flowing quickly
87299,o7Nra5Cw_jQ,20,a telephone bell rings
87298,o7Mpzk9EFGM,20,a vehicle engine idles while wind blows and a man speaks briefly
87291,o6uZQIMPhWE,21,numerous number of frogs croaking
87290,o6sEBjIyu6s,21,a vehicle engine revving then wanes
87292,o7-MJ5pyWDs,30,a flock of pigeons cooing as a bird chirps in the background followed by bird wings flapping
